iter	RMSE
0	0.9351119837
1	0.8739396713
2	0.817093204
3	0.7656159037
4	0.7199633425
5	0.6801708656
6	0.6465274189
7	0.6175027681
8	0.5915195476
9	0.5649229655
10	0.5408398587
11	0.5216813264
12	0.5044115137
13	0.4893516038
14	0.4735744764
15	0.4594761207
16	0.4480871145
17	0.4379893624
18	0.4271322392
19	0.4192961347
20	0.4111163641
21	0.4051248327
22	0.3985297518
23	0.3919864444
24	0.3869028014
25	0.3821323334
26	0.3776566201
27	0.374125194
28	0.3711069256
29	0.3676390817
30	0.3650133847
31	0.3623878644
32	0.3598531613
33	0.3574732039
34	0.355135185
35	0.3530517222
36	0.3512311441
37	0.3498730479
38	0.3483149133
39	0.3469889177
40	0.3461208487
41	0.3448939207
42	0.3436441085
43	0.3424754111
44	0.3415273237
45	0.3406450181
46	0.3395532346
47	0.3389292514
48	0.3376306432
49	0.336811001
50	0.3357540651
51	0.335174518
52	0.3340250181
53	0.3331614168
54	0.3318801562
55	0.3316731889
56	0.3304802998
57	0.3297468901
58	0.3291721825
59	0.3283103127
60	0.3273947507
61	0.3269017438
62	0.3262304332
63	0.3253997719
64	0.3249108845
65	0.3239195533
66	0.3228085505
67	0.3218546536
68	0.321753693
69	0.3205066846
70	0.3198954687
71	0.319006698
72	0.3182639786
73	0.3174005912
74	0.3167266353
75	0.3157037412
76	0.3147412526
77	0.3139063705
78	0.3132296452
79	0.3125201666
80	0.3120305101
81	0.3116412391
82	0.3113433822
83	0.3110588294
84	0.3103105577
85	0.3099037873
86	0.3090119075
87	0.3085642704
88	0.3077426522
89	0.3072058919
90	0.3068256227
91	0.3059730309
92	0.3057266163
93	0.3054567721
94	0.3048396286
95	0.3037048617
96	0.3032122986
97	0.3024615928
98	0.3022928754
99	0.3019555575
