iter	Passed	Remaining
0	2	2260
1	5	2871
2	7	2606
3	9	2435
4	11	2279
5	13	2163
6	14	2085
7	17	2120
8	19	2122
9	20	2073
10	22	2041
11	24	2002
12	26	1977
13	27	1956
14	29	1946
15	32	1974
16	34	2009
17	36	1985
18	38	1963
19	39	1949
20	41	1941
21	45	2014
22	47	2028
23	50	2044
24	52	2031
25	53	2015
26	55	2012
27	59	2059
28	63	2125
29	70	2283
30	74	2337
31	81	2473
32	84	2469
33	86	2447
34	87	2419
35	90	2428
36	95	2493
37	98	2487
38	101	2494
39	104	2516
40	110	2573
41	112	2568
42	114	2557
43	116	2531
44	119	2541
45	124	2581
46	129	2620
47	131	2600
48	133	2582
49	136	2587
50	140	2611
51	143	2613
52	145	2590
53	146	2571
54	150	2594
55	155	2621
56	158	2625
57	160	2609
58	162	2589
59	165	2593
60	169	2614
61	172	2602
62	173	2582
63	175	2563
64	178	2573
65	181	2573
66	187	2610
67	189	2594
68	190	2575
69	193	2571
70	200	2620
71	203	2620
72	205	2604
73	206	2584
74	208	2572
75	211	2574
76	215	2579
77	217	2567
78	218	2552
79	220	2540
80	224	2551
81	228	2563
82	230	2543
83	231	2529
84	233	2514
85	235	2499
86	238	2502
87	241	2503
88	243	2494
89	245	2479
90	246	2466
91	248	2454
92	250	2440
93	253	2441
94	255	2436
95	258	2430
96	259	2417
97	261	2403
98	262	2390
99	264	2379
100	267	2378
101	269	2373
102	272	2374
103	275	2374
104	277	2362
105	278	2350
106	280	2341
107	284	2345
108	285	2334
109	286	2321
110	288	2309
111	289	2298
112	291	2288
113	293	2278
114	294	2270
115	296	2262
116	298	2251
117	300	2245
118	301	2235
119	303	2224
120	304	2214
121	306	2206
122	308	2197
123	309	2189
124	313	2191
125	315	2186
126	316	2175
127	318	2168
128	320	2160
129	321	2151
130	322	2141
131	324	2135
132	327	2134
133	328	2125
134	330	2117
135	331	2108
136	333	2101
137	335	2095
138	337	2087
139	338	2079
140	340	2073
141	341	2064
142	343	2060
143	345	2052
144	347	2046
145	348	2039
146	350	2032
147	351	2024
148	353	2019
149	356	2018
150	358	2015
151	360	2008
152	362	2005
153	363	1999
154	365	1992
155	366	1985
156	368	1980
157	371	1979
158	372	1972
159	374	1966
160	375	1957
161	377	1951
162	378	1945
163	380	1939
164	381	1932
165	383	1927
166	385	1923
167	387	1921
168	390	1918
169	391	1913
170	393	1907
171	395	1902
172	396	1896
173	398	1893
174	401	1891
175	402	1885
176	404	1880
177	406	1875
178	407	1870
179	409	1864
180	410	1858
181	412	1853
182	414	1848
183	416	1846
184	418	1842
185	419	1836
186	421	1831
187	423	1827
188	424	1822
189	426	1817
190	428	1814
191	432	1818
192	433	1814
193	435	1809
194	437	1804
195	438	1800
196	440	1795
197	442	1790
198	445	1792
199	446	1786
200	448	1781
201	449	1777
202	451	1772
203	452	1767
204	454	1763
205	456	1758
206	458	1757
207	461	1757
208	463	1753
209	464	1749
210	466	1745
211	468	1741
212	470	1736
213	472	1736
214	476	1739
215	478	1736
216	480	1732
217	481	1727
218	482	1722
219	484	1717
220	486	1713
221	488	1712
222	490	1708
223	492	1704
224	493	1701
225	495	1697
226	497	1693
227	499	1691
228	501	1689
229	504	1688
230	506	1685
231	508	1681
232	509	1677
233	511	1674
234	513	1670
235	514	1666
236	518	1669
237	520	1666
238	522	1663
239	523	1659
240	526	1656
241	527	1653
242	529	1649
243	532	1649
244	534	1646
245	538	1649
246	540	1647
247	541	1643
248	543	1639
249	545	1636
250	550	1642
251	552	1640
252	555	1638
253	556	1635
254	558	1630
255	560	1628
256	562	1626
257	566	1630
258	569	1629
259	571	1625
260	572	1621
261	574	1617
262	577	1618
263	583	1626
264	585	1625
265	587	1621
266	590	1620
267	592	1619
